CCHHL,Country Club Hospitality & Holidays Limited,03-Feb-15,INE652F01027
CCL,CCL Products (India) Limited,07-Jun-04,INE421D01022
CDSL,Central Depository Services (India) Limited,30-Jun-17,INE736A01011
CEATLTD,CEAT Limited,01-Feb-08,INE482A01020
CEIGALL,Ceigall India Limited,08-Aug-24,INE0AG901020
CELEBRITY,Celebrity Fashions Limited,12-Jan-06,INE185H01016
CELLO,Cello World Limited,06-Nov-23,INE0LMW01024
CEMPRO,Cemindia Projects Limited,10-Feb-99,INE686A01026
CENTENKA,Century Enka Limited,10-May-95,INE485A01015
CENTEXT,Century Extrusions Limited,20-Jul-04,INE281A01026
CENTRALBK,Central Bank of India,21-Aug-07,INE483A01010
CENTRUM,Centrum Capital Limited,04-Apr-18,INE660C01027
CENTUM,Centum Electronics Limited,05-Oct-07,INE320B01020
CENTURYPLY,Century Plyboards (India) Limited,23-Mar-06,INE348B01021
CERA,Cera Sanitaryware Limited,02-Nov-07,INE739E01017
CEREBRAINT,Cerebra Integrated Technologies Limited,26-Jun-13,INE345B01019
CESC,CESC Limited,08-Feb-95,INE486A01021
CEWATER,Concord Enviro Systems Limited,27-Dec-24,INE037Z01029
CGCL,Capri Global Capital Limited,29-Oct-10,INE180C01042
CGPOWER,CG Power and Industrial Solutions Limited,01-Mar-95,INE067A01029
CHALET,Chalet Hotels Limited,07-Feb-19,INE427F01016
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,14-Jun-95,INE085A01013
CHEMBOND,Chembond Material Technologies Limited,20-Nov-19,INE995D01025
CHEMBONDCH,Chembond Chemicals Limited,23-Jul-25,INE0TGX01019
CHEMCON,Chemcon Speciality Chemicals Limited,01-Oct-20,INE03YM01018
CHEMFAB,Chemfab Alkalis Limited,25-Apr-18,INE783X01023
CHEMPLASTS,Chemplast Sanmar Limited,24-Aug-21,INE488A01050
